epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2163,1.20051,3.39253,1.4179,0.6033,0.39753,0.40941,0.26101,1.37115,3.36096,1.50352,0.000546086,0.000546086,0.000546086
2,91.0253,1.24228,1.35011,1.43866,0.16907,0.18462,0.04501,0.02384,nan,nan,nan,0.00107994,0.00107994,0.00107994
3,127.53,1.26377,1.25953,1.45872,0.01579,0.25385,0.00258,0.00076,1.86595,713.028,1.99967,0.00159179,0.00159179,0.00159179
4,164.616,1.25206,1.23767,1.45775,0.79022,0.27261,0.29752,0.18289,1.76108,2.7228,1.75459,0.00156798,0.00156798,0.00156798
5,200.539,1.23013,1.19092,1.43429,0.18819,0.10385,0.04149,0.01795,2.47946,5.73346,2.45798,0.00153497,0.00153497,0.00153497
6,237.801,1.13541,1.0559,1.34847,0.60949,0.37471,0.42752,0.25754,nan,nan,nan,0.00150197,0.00150197,0.00150197
7,273.805,1.16241,1.00292,1.37565,0.69757,0.66154,0.6592,0.42855,1.15195,1.05851,1.27698,0.00146896,0.00146896,0.00146896
8,311.147,1.08305,0.93962,1.31488,0.72163,0.62982,0.67617,0.42812,1.17044,1.16483,1.2992,0.00143595,0.00143595,0.00143595
9,347.543,1.0747,0.91997,1.31246,0.55803,0.6878,0.63864,0.38726,1.33629,1.16878,1.36479,0.00140295,0.00140295,0.00140295
10,383.475,1.03378,0.86699,1.26957,0.7403,0.66624,0.71053,0.48719,1.04767,1.01171,1.16528,0.00136994,0.00136994,0.00136994
11,421.283,1.01447,0.8276,1.27357,0.68972,0.68462,0.70827,0.44989,1.16797,1.13917,1.23823,0.00133693,0.00133693,0.00133693
12,457.209,1.01032,0.8121,1.25954,0.73156,0.75948,0.76989,0.49234,1.11884,0.8695,1.2492,0.00130393,0.00130393,0.00130393
13,495.183,1.01959,0.78182,1.27988,0.85671,0.74231,0.83709,0.50345,1.10601,0.85606,1.23303,0.00127092,0.00127092,0.00127092
14,532.139,1.00573,0.79698,1.26125,0.71075,0.68846,0.74214,0.51991,0.99357,0.89405,1.19099,0.00123791,0.00123791,0.00123791
15,569.626,0.98311,0.75487,1.24114,0.69278,0.71923,0.779,0.513,1.03807,0.90409,1.21371,0.00120491,0.00120491,0.00120491
16,605.712,0.96157,0.75001,1.22326,0.83852,0.75097,0.80977,0.53015,1.11084,0.81635,1.20153,0.0011719,0.0011719,0.0011719
17,643.602,0.96232,0.7293,1.22724,0.688,0.76138,0.72704,0.49846,1.02589,0.8829,1.1406,0.00113889,0.00113889,0.00113889
18,679.598,0.92652,0.6929,1.20007,0.68428,0.68846,0.71819,0.47747,1.0773,1.18088,1.16379,0.00110589,0.00110589,0.00110589
19,716.448,0.92747,0.70554,1.21144,0.81762,0.82315,0.85341,0.50827,1.23592,0.80024,1.2261,0.00107288,0.00107288,0.00107288
20,752.044,0.91429,0.66022,1.18576,0.74644,0.86154,0.85748,0.58264,0.98508,0.69385,1.12864,0.00103987,0.00103987,0.00103987
21,789.878,0.89069,0.65548,1.1737,0.77458,0.76923,0.7794,0.54487,0.97957,0.79276,1.15493,0.00100687,0.00100687,0.00100687
22,825.733,0.90218,0.63322,1.1786,0.79617,0.73462,0.77189,0.53368,1.02569,0.78717,1.13378,0.000973861,0.000973861,0.000973861
23,862.296,0.88965,0.61759,1.16745,0.86401,0.79511,0.86084,0.56369,1.03821,0.70905,1.15535,0.000940855,0.000940855,0.000940855
24,898.142,0.86432,0.62327,1.15671,0.84319,0.73846,0.8077,0.51459,1.12783,0.76247,1.18295,0.000907848,0.000907848,0.000907848
25,933.98,0.88481,0.60581,1.1629,0.83005,0.82932,0.86792,0.5839,0.96776,0.70225,1.12538,0.000874842,0.000874842,0.000874842
26,971.984,0.83062,0.57747,1.13733,0.81759,0.85385,0.8773,0.56997,1.04662,0.6928,1.16198,0.000841835,0.000841835,0.000841835
27,1007.49,0.82962,0.55898,1.13479,0.83765,0.80652,0.87182,0.58888,0.97277,0.65849,1.09359,0.000808828,0.000808828,0.000808828
28,1045.59,0.82065,0.56482,1.13387,0.83139,0.86154,0.88141,0.59672,0.97839,0.63598,1.11169,0.000775822,0.000775822,0.000775822
29,1082.83,0.84099,0.57853,1.14045,0.86981,0.81923,0.87446,0.60123,0.96875,0.63693,1.10247,0.000742815,0.000742815,0.000742815
30,1120.87,0.81954,0.54264,1.12447,0.89767,0.81294,0.85846,0.60772,0.86776,0.68265,1.06701,0.000709809,0.000709809,0.000709809
31,1157.64,0.81429,0.53117,1.1161,0.86609,0.86036,0.88805,0.57186,1.0604,0.62679,1.1404,0.000676802,0.000676802,0.000676802
32,1194.67,0.80363,0.52791,1.11572,0.88572,0.82997,0.89039,0.61186,0.95286,0.60106,1.102,0.000643795,0.000643795,0.000643795
33,1231.36,0.79241,0.52513,1.10613,0.91555,0.83846,0.91646,0.62468,0.94961,0.60404,1.10116,0.000610789,0.000610789,0.000610789
34,1269.67,0.75388,0.49723,1.08952,0.91864,0.87902,0.91412,0.62632,0.93963,0.54282,1.09133,0.000577782,0.000577782,0.000577782
35,1306.58,0.74634,0.49606,1.09041,0.94077,0.8378,0.90756,0.65128,0.85807,0.52246,1.05694,0.000544776,0.000544776,0.000544776
36,1344.83,0.75113,0.49817,1.09053,0.92862,0.9017,0.92862,0.6261,0.90436,0.52306,1.08421,0.000511769,0.000511769,0.000511769
37,1380.87,0.72318,0.46663,1.07529,0.87787,0.86073,0.91084,0.59619,0.98944,0.58336,1.10672,0.000478762,0.000478762,0.000478762
38,1417.87,0.74153,0.47073,1.07853,0.91388,0.86923,0.92426,0.62374,0.92512,0.53328,1.0791,0.000445756,0.000445756,0.000445756
39,1453.67,0.72976,0.45959,1.07765,0.90522,0.82433,0.89773,0.60731,0.8862,0.55601,1.0657,0.000412749,0.000412749,0.000412749
40,1489.99,0.74589,0.47623,1.07343,0.9124,0.81836,0.89661,0.59898,0.95045,0.5593,1.09017,0.000379743,0.000379743,0.000379743
