epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.0991,1.70729,3.20876,1.608,0.25192,0.28495,0.16075,0.06757,2.19134,4.01662,2.07787,0.000468394,0.000468394,0.000468394
2,128.359,1.67534,1.80622,1.59013,0.62937,0.49654,0.52591,0.23463,1.87978,5.33373,2.54899,0.000926022,0.000926022,0.000926022
3,174.345,1.66417,1.68866,1.60359,0.11781,0.4283,0.04458,0.01637,2.27461,54.2703,2.47364,0.00136479,0.00136479,0.00136479
4,218.942,1.65416,1.61261,1.57928,0.58246,0.47103,0.51646,0.20537,2.07522,4.33786,2.30457,0.00134412,0.00134412,0.00134412
5,264.431,1.6094,1.58971,1.56024,0.63038,0.61443,0.68021,0.3477,1.60665,1.97492,1.64303,0.00131582,0.00131582,0.00131582
6,309.815,1.55864,1.40197,1.5237,0.76348,0.69812,0.78788,0.34352,1.83704,1.54049,1.68827,0.00128753,0.00128753,0.00128753
7,353.483,1.54239,1.38783,1.50986,0.87779,0.7314,0.83705,0.40089,1.71342,1.10096,1.60427,0.00125923,0.00125923,0.00125923
8,398.831,1.49957,1.32601,1.47436,0.76394,0.73956,0.79299,0.3151,1.89701,1.25872,1.68556,0.00123094,0.00123094,0.00123094
9,443.065,1.48813,1.27462,1.44621,0.85266,0.8048,0.85107,0.43292,1.55893,1.14391,1.5402,0.00120265,0.00120265,0.00120265
10,488.13,1.47754,1.239,1.46186,0.80856,0.7346,0.80937,0.42653,1.56959,1.16837,1.55882,0.00117435,0.00117435,0.00117435
11,531.981,1.44866,1.20521,1.43434,0.78168,0.72634,0.81604,0.36229,1.85619,1.12456,1.61969,0.00114606,0.00114606,0.00114606
12,575.386,1.42065,1.17394,1.42691,0.88661,0.77537,0.86231,0.43878,1.60267,0.95546,1.50566,0.00111776,0.00111776,0.00111776
13,621.055,1.38947,1.13323,1.39622,0.80838,0.83088,0.86579,0.47138,1.4504,0.9536,1.40206,0.00108947,0.00108947,0.00108947
14,666.674,1.40191,1.10534,1.41069,0.78855,0.75613,0.81472,0.42169,1.71321,1.13597,1.64746,0.00106118,0.00106118,0.00106118
15,710.066,1.37151,1.1094,1.38512,0.84052,0.83773,0.91196,0.51821,1.41827,0.87358,1.38246,0.00103288,0.00103288,0.00103288
16,755.115,1.37212,1.08096,1.38011,0.87778,0.82443,0.907,0.50904,1.44464,0.86143,1.42667,0.00100459,0.00100459,0.00100459
17,798.704,1.35112,1.04486,1.38063,0.87282,0.83681,0.92024,0.53511,1.31807,0.86676,1.35146,0.000976293,0.000976293,0.000976293
18,843.716,1.32563,1.00142,1.361,0.87237,0.83685,0.89971,0.51546,1.40987,0.79145,1.382,0.000947999,0.000947999,0.000947999
19,887.507,1.34403,1.00489,1.37463,0.84647,0.86033,0.90933,0.52401,1.32031,0.79568,1.31781,0.000919704,0.000919704,0.000919704
20,931.176,1.32831,1.01601,1.36545,0.88316,0.87227,0.92628,0.58417,1.22094,0.74625,1.27773,0.00089141,0.00089141,0.00089141
21,976.938,1.32617,0.98668,1.3643,0.90572,0.82735,0.90995,0.56384,1.26898,0.74423,1.32131,0.000863116,0.000863116,0.000863116
22,1019.97,1.28927,0.96297,1.33782,0.90718,0.88224,0.94245,0.54824,1.29763,0.71973,1.35283,0.000834822,0.000834822,0.000834822
23,1065.52,1.29086,0.91739,1.3319,0.88417,0.88034,0.93623,0.57919,1.27492,0.69579,1.32176,0.000806528,0.000806528,0.000806528
24,1110.71,1.25593,0.91079,1.32012,0.93469,0.83586,0.94194,0.58393,1.25777,0.66235,1.2835,0.000778233,0.000778233,0.000778233
