epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.605,1.67476,1.50095,1.26532,0.67524,0.61467,0.64835,0.26829,1.88487,1.09768,1.31287,0.000331551,0.000331551,0.000331551
2,308.678,1.46526,0.88737,1.15803,0.77791,0.7347,0.80034,0.41144,1.50539,0.84046,1.12477,0.000651719,0.000651719,0.000651719
3,439.665,1.42772,0.83328,1.13967,0.81276,0.73633,0.80008,0.38861,1.57672,0.89698,1.15811,0.000958688,0.000958688,0.000958688
4,570.909,1.40777,0.81875,1.13286,0.74783,0.6948,0.75048,0.39131,1.49611,0.86219,1.16254,0.0009406,0.0009406,0.0009406
5,702.33,1.37573,0.78238,1.11804,0.75059,0.70157,0.72782,0.39056,1.42506,0.89647,1.15135,0.0009208,0.0009208,0.0009208
6,835.906,1.3449,0.75023,1.10627,0.83877,0.75067,0.82352,0.43845,1.48621,0.78342,1.1669,0.000901,0.000901,0.000901
7,968.367,1.31671,0.73038,1.09508,0.84089,0.80837,0.86451,0.50075,1.30019,0.68872,1.08216,0.0008812,0.0008812,0.0008812
8,1100.23,1.29458,0.70806,1.0848,0.83626,0.80108,0.86879,0.49433,1.32522,0.67452,1.08337,0.0008614,0.0008614,0.0008614
9,1229.32,1.28595,0.69789,1.07967,0.87188,0.80348,0.87135,0.50524,1.27565,0.65201,1.0647,0.0008416,0.0008416,0.0008416
10,1361.41,1.26099,0.67741,1.06937,0.87263,0.81648,0.88287,0.5161,1.2767,0.63861,1.06137,0.0008218,0.0008218,0.0008218
11,1494.34,1.26184,0.67341,1.07056,0.86175,0.8345,0.88504,0.52483,1.24107,0.62594,1.04715,0.000802,0.000802,0.000802
12,1624.84,1.23608,0.65714,1.05744,0.87948,0.85265,0.89617,0.53425,1.24804,0.61165,1.04966,0.0007822,0.0007822,0.0007822
13,1754.55,1.23318,0.65435,1.05916,0.8903,0.82307,0.89403,0.53451,1.22147,0.6164,1.03791,0.0007624,0.0007624,0.0007624
14,1883.21,1.21829,0.64128,1.0528,0.88854,0.85054,0.90154,0.54683,1.20901,0.5945,1.03292,0.0007426,0.0007426,0.0007426
15,2010.98,1.20471,0.63517,1.04666,0.88491,0.84437,0.90533,0.54953,1.20096,0.59482,1.03391,0.0007228,0.0007228,0.0007228
16,2137.82,1.19235,0.62324,1.04188,0.86867,0.84866,0.90072,0.53796,1.2454,0.60818,1.04652,0.000703,0.000703,0.000703
17,2265.33,1.18906,0.61917,1.04097,0.88584,0.85787,0.91257,0.56289,1.17574,0.5707,1.02402,0.0006832,0.0006832,0.0006832
18,2393.59,1.1835,0.6105,1.03492,0.88037,0.85822,0.91128,0.55576,1.18839,0.58441,1.02952,0.0006634,0.0006634,0.0006634
19,2519.76,1.17509,0.61072,1.03763,0.90634,0.85696,0.91638,0.56307,1.18479,0.56583,1.02424,0.0006436,0.0006436,0.0006436
20,2648.76,1.17317,0.60625,1.03597,0.89274,0.85713,0.91274,0.55226,1.20971,0.56737,1.03434,0.0006238,0.0006238,0.0006238
21,2774.25,1.15608,0.60073,1.02852,0.88903,0.8708,0.91289,0.56116,1.17692,0.56243,1.02739,0.000604,0.000604,0.000604
22,2900.38,1.15078,0.58921,1.02769,0.90484,0.87982,0.92536,0.57684,1.14867,0.54091,1.01925,0.0005842,0.0005842,0.0005842
23,3028.71,1.14378,0.58503,1.0283,0.89327,0.85059,0.90922,0.56041,1.16574,0.5573,1.01643,0.0005644,0.0005644,0.0005644
